Constituency,Winner_Party,Winner_Alliance,Electors_2026,New_Voters,Elector_Growth,DMK_Alliance_Share,AIADMK_Alliance_Share,NTK_share,DMK_share_adj,AIADMK_share_adj,TVK_share_adj,Others_share_adj,Winner_adj,LR_DMK_WinProb,Seat_Risk
Paramathi-Velur,AIADMK,AIADMK_Alliance,203567,0.0,0.8067459012170523,0.42663734301594475,0.4683473328361378,0.0636047404149224,0.4261209856936324,0.4430708571392019,0.10954850332074323,0.021259653846422404,AIADMK_Alliance,0.32440644211101655,AIADMK Safe
Pattukkottai,DMK,DMK_Alliance,240954,0.0,0.9899222290238161,0.44619074492099325,0.30358916478555303,0.060553047404063205,0.44429090166801194,0.2618382459382944,0.12263815941193151,0.17123269298176216,DMK_Alliance,0.9969060047045931,DMK Safe
Pennagaram,PMK,AIADMK_Alliance,246293,0.0,0.8525789255054002,0.40387532393428593,0.5185040774113787,0.04253346330329759,0.37739262415616504,0.4588486137149238,0.14329617658263213,0.020462585546278982,AIADMK_Alliance,0.015028216658223764,AIADMK Safe
Perambalur,DMK,DMK_Alliance,288449,0.0,0.8748673060241549,0.5086532292334998,0.39157424612333663,0.07779573879496388,0.5008727559202059,0.34448670290608874,0.13363287060892573,0.02100767056477973,DMK_Alliance,0.9952708532212976,DMK Safe
Perambur,DMK,DMK_Alliance,222792,0.0,0.8093963096306361,0.5253185086856932,0.25096937426080534,0.09891360217978212,0.5368715784156869,0.18629479999786142,0.18444771599953658,0.09238590558691515,DMK_Alliance,0.9999922010295557,DMK Safe
Peravurani,DMK,DMK_Alliance,212826,0.0,0.9068619931482333,0.5216856892010535,0.3936201346210126,0.07113842551946152,0.5071675744891156,0.3422076881401675,0.12993597479361868,0.02068876257709814,DMK_Alliance,0.9980856977390654,DMK Safe
Periyakulam,DMK,DMK_Alliance,263547,0.0,0.9507673326262474,0.45714752944791054,0.35149184576579434,0.058444872817732675,0.4569220634851705,0.3161061965166113,0.11440739718061627,0.11256434281760201,DMK_Alliance,0.987179735450299,DMK Safe
Perundurai,AIADMK,AIADMK_Alliance,212084,0.0,0.8132897194111354,0.3719810580321634,0.4529163572004235,0.05422375331194724,0.36861710618535115,0.4295020612587496,0.09876228108263208,0.10311855147326704,AIADMK_Alliance,0.05458797378680361,AIADMK Safe
Pollachi,AIADMK,AIADMK_Alliance,202015,0.0,0.8294430416127774,0.4446612673991021,0.4543901008414736,0.03610666185394906,0.4249530389556867,0.3986814281038769,0.14545951398404758,0.03090601895638882,DMK_Alliance,0.4788397461101048,Marginal
Polur,AIADMK,AIADMK_Alliance,232426,0.0,0.8376043735066976,0.4356523374849019,0.4837930419975051,0.050477199374294596,0.3966791171047047,0.3997648199164967,0.1832421740111839,0.020313888967614494,AIADMK_Alliance,0.2066068890797906,AIADMK Safe
Ponneri,INC,DMK_Alliance,248917,0.0,0.8614595013635672,0.449375814103844,0.40331536362512715,0.09045228519543246,0.41854911856796706,0.30550590424220747,0.25448541232161254,0.021459564868212863,DMK_Alliance,0.9491014217546777,DMK Safe
Poompuhar,DMK,DMK_Alliance,257129,0.0,0.9006522074173707,0.46238897602940754,0.44651603652845007,0.07131997036153158,0.3931497668151058,0.30739968818903896,0.27942386798520097,0.020026677010654307,DMK_Alliance,0.8259780842578092,DMK Safe
